OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,1stFlrSF,BsmtFinSF1,GarageCars,FullBath,GarageArea,LotArea,MasVnrArea,YearBuilt,YearRemodAdd,GarageYrBlt,BsmtUnfSF,BsmtQual,LotFrontage,OpenPorchSF,OverallCond,GarageType,WoodDeckSF,TotRmsAbvGrd,MSSubClass,MoSold,BsmtExposure,LotShape,MSZoning,BedroomAbvGr,MasVnrType,ExterQual,HalfBath,FireplaceQu,KitchenQual,Condition1,BldgType,SaleCondition,Street,PavedDrive,SaleType,SalePrice
5,1060.0,1060.0,0.0,1060.0,188.0,1,1,270.0,8246.0,0.0,1968,2001,1968.0,204.0,TA,90.80748867797192,90.0,8,Attchd,406.0,6,20,5,Mn,IR1,RL,3,None,TA,0,TA,Gd,Norm,1Fam,Normal,Pave,Y,WD,154000.0
8,1600.0,1566.0,0.0,1600.0,0.0,3,2,890.0,14230.0,640.0,2007,2007,2007.0,1566.0,None,110.0,56.0,5,Attchd,0.0,7,20,7,None,Reg,RL,3,Stone,Gd,0,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,256300.0
5,900.0,900.0,0.0,900.0,234.0,2,1,576.0,7200.0,0.0,1951,2000,2005.0,180.0,TA,60.0,32.0,7,Detchd,222.0,5,20,5,Mn,Reg,RL,3,None,TA,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,134800.0
8,1704.0,1704.0,0.0,1704.0,1218.0,3,2,772.0,11478.0,200.0,2007,2008,2008.0,486.0,Ex,98.0,50.0,5,Attchd,0.0,7,20,5,No,Reg,RL,3,Stone,Gd,0,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,306000.0
5,1600.0,1484.0,0.0,1600.0,1277.0,1,1,319.0,16321.0,0.0,1957,1997,1957.0,207.0,TA,47.0,258.0,6,Attchd,288.0,6,20,12,Gd,IR1,RL,2,None,TA,0,Gd,TA,Norm,1Fam,Normal,Pave,Y,WD,207500.0
4,520.0,520.0,0.0,520.0,0.0,1,1,240.0,6324.0,0.0,1927,1950,1920.0,520.0,None,60.0,0.0,6,Detchd,49.0,4,30,5,None,IR1,RM,1,None,TA,0,None,Fa,Feedr,1Fam,Normal,Pave,Y,WD,68500.0
4,1317.0,649.0,668.0,649.0,0.0,1,1,250.0,8500.0,0.0,1920,1950,1920.0,649.0,None,50.0,54.0,4,Detchd,0.0,6,70,7,None,Reg,C (all),3,None,TA,0,None,TA,Feedr,1Fam,Normal,Pave,N,WD,40000.0
5,1228.0,1228.0,0.0,1228.0,0.0,1,1,271.0,8544.0,0.0,1966,2006,1966.0,1228.0,None,59.9111111111111,65.0,6,Attchd,0.0,6,20,6,None,IR1,RL,3,None,TA,1,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,149350.0
8,1234.0,1234.0,0.0,1234.0,0.0,2,2,484.0,11049.0,0.0,2007,2007,2007.0,1234.0,None,85.0,30.0,5,Attchd,0.0,7,20,1,None,Reg,RL,3,None,Gd,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,179900.0
5,1700.0,1398.0,0.0,1700.0,1018.0,2,1,447.0,10552.0,0.0,1959,1959,1959.0,380.0,TA,70.0,38.0,5,Attchd,0.0,6,20,4,No,IR1,RL,4,None,TA,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,165500.0
9,1561.0,1561.0,0.0,1561.0,1153.0,2,2,556.0,7313.0,246.0,2005,2005,2005.0,408.0,Ex,60.0,47.0,5,Attchd,203.0,6,120,8,No,Reg,RL,2,BrkFace,Ex,0,Gd,Ex,Norm,TwnhsE,Normal,Pave,Y,WD,277500.0
8,2452.0,1117.0,1320.0,1132.0,0.0,3,3,691.0,13418.0,132.0,2004,2005,2004.0,1117.0,None,108.0,32.0,5,BuiltIn,113.0,9,60,9,None,Reg,RL,4,Stone,Gd,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,309000.0
5,1097.0,1097.0,0.0,1097.0,0.0,2,1,672.0,10859.0,0.0,1994,1995,1995.0,1097.0,None,112.0,64.0,5,Attchd,392.0,6,20,6,None,Reg,RL,3,None,TA,1,None,TA,Norm,1Fam,Normal,Pave,Y,WD,145000.0
5,1297.0,1297.0,0.0,1297.0,1213.0,2,1,498.0,8532.0,650.0,1954,1990,1954.0,84.0,TA,74.0,0.0,6,Attchd,0.0,5,20,10,No,Reg,RL,3,BrkFace,TA,0,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,153000.0
5,1057.0,1057.0,0.0,1057.0,731.0,1,1,246.0,7922.0,0.0,1953,2007,1953.0,326.0,TA,68.0,52.0,7,Detchd,0.0,5,20,1,No,Reg,RL,3,None,TA,0,None,Gd,Norm,1Fam,Abnorml,Pave,Y,WD,109000.0
6,1324.0,1088.0,0.0,1324.0,643.0,2,2,440.0,8658.0,101.0,1965,1965,1965.0,445.0,TA,84.0,138.0,5,Attchd,0.0,6,20,12,No,Reg,RL,3,BrkFace,TA,0,TA,TA,Norm,1Fam,Abnorml,Pave,Y,WD,160000.0
5,1328.0,1350.0,0.0,1328.0,967.0,1,1,308.0,16905.0,0.0,1959,1959,1959.0,383.0,TA,115.0,104.0,6,Attchd,0.0,5,20,7,Gd,Reg,RL,2,None,TA,1,Gd,TA,Norm,1Fam,Normal,Pave,P,WD,170000.0
5,884.0,840.0,0.0,884.0,747.0,2,1,504.0,9180.0,0.0,1983,1983,1983.0,0.0,Gd,59.9111111111111,0.0,7,Attchd,240.0,5,85,12,Av,IR1,RL,2,None,TA,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,144000.0
5,938.0,938.0,0.0,938.0,280.0,1,1,308.0,9200.0,0.0,1975,1980,1977.0,167.0,Gd,59.9111111111111,0.0,6,Detchd,145.0,5,20,7,Av,IR1,RL,3,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,130250.0
5,1150.0,1150.0,0.0,1150.0,179.0,1,1,300.0,7945.0,0.0,1959,1959,1959.0,465.0,TA,70.0,0.0,6,Attchd,0.0,6,20,5,No,Reg,RL,3,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,141000.0
9,1752.0,1752.0,0.0,1752.0,456.0,2,2,576.0,7658.0,412.0,2005,2005,2005.0,1296.0,Ex,61.0,82.0,5,Attchd,196.0,6,120,2,No,Reg,RL,2,BrkFace,Ex,0,Gd,Ex,Norm,TwnhsE,Normal,Pave,Y,WD,319900.0
7,2149.0,1434.0,631.0,1518.0,1351.0,2,1,670.0,12822.0,0.0,2003,2003,2003.0,83.0,Ex,48.0,43.0,5,Attchd,168.0,6,50,8,No,IR1,RL,1,None,Gd,1,Ex,Gd,Norm,1Fam,Abnorml,Pave,Y,WD,239686.0
8,1656.0,1656.0,0.0,1656.0,24.0,3,2,826.0,11096.0,0.0,2006,2006,2006.0,1632.0,Gd,84.0,146.0,5,Attchd,0.0,7,20,7,Av,Reg,FV,3,None,Gd,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,249700.0
5,955.0,955.0,0.0,955.0,763.0,1,1,386.0,7742.0,0.0,1966,1966,1966.0,192.0,TA,66.0,0.0,7,Attchd,0.0,6,20,1,No,Reg,RL,3,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,127000.0
6,1470.0,794.0,676.0,794.0,182.0,2,2,388.0,13869.0,0.0,1997,1997,1997.0,612.0,Gd,117.76671855834311,75.0,6,Attchd,0.0,6,60,7,Av,IR2,RL,3,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,177000.0
6,1176.0,816.0,0.0,816.0,0.0,2,1,528.0,6240.0,0.0,1934,1950,1985.0,816.0,None,52.0,0.0,6,Detchd,112.0,6,50,9,None,Reg,RM,3,None,TA,0,Gd,TA,Norm,1Fam,Normal,Pave,Y,WD,114500.0
5,816.0,816.0,0.0,816.0,104.0,2,1,516.0,8472.0,0.0,1963,1963,1963.0,0.0,Gd,110.0,0.0,5,CarPort,106.0,5,90,5,Gd,IR2,RM,2,None,Fa,0,None,TA,RRNn,Duplex,Normal,Grvl,Y,WD,110000.0
9,1842.0,1842.0,0.0,1842.0,1810.0,3,0,894.0,50271.0,0.0,1981,1987,1981.0,32.0,Ex,68.0,72.0,5,Attchd,857.0,5,20,11,Gd,IR1,RL,0,None,Gd,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,385000.0
5,1360.0,384.0,0.0,1360.0,384.0,2,1,572.0,7134.0,0.0,1955,1955,1962.0,0.0,TA,60.0,50.0,5,Detchd,0.0,6,80,2,No,Reg,RL,3,None,TA,0,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,130000.0
6,1425.0,1425.0,0.0,1425.0,490.0,2,2,576.0,10175.0,272.0,1964,1964,1964.0,935.0,TA,100.0,0.0,5,Attchd,0.0,7,20,7,No,IR1,RL,3,BrkFace,TA,0,Gd,TA,Norm,1Fam,Normal,Pave,Y,WD,180500.0
8,1739.0,970.0,756.0,983.0,649.0,2,2,480.0,2645.0,456.0,1999,2000,1999.0,321.0,Gd,24.0,0.0,5,Attchd,115.0,7,160,8,No,Reg,FV,3,BrkFace,Gd,1,None,Gd,Norm,Twnhs,Abnorml,Pave,Y,WD,172500.0
7,1720.0,860.0,860.0,860.0,0.0,2,2,565.0,11645.0,0.0,2004,2004,2004.0,860.0,None,89.0,70.0,5,Attchd,0.0,7,60,8,None,IR1,RL,3,None,Gd,1,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,196500.0
10,2945.0,1410.0,1519.0,1426.0,0.0,3,3,641.0,13682.0,1031.0,2006,2006,2006.0,1410.0,None,66.0,0.0,5,BuiltIn,192.0,10,60,10,None,IR2,RL,3,BrkFace,Ex,1,Gd,Gd,Norm,1Fam,Partial,Pave,Y,New,438780.0
5,780.0,780.0,0.0,780.0,632.0,1,1,352.0,7200.0,0.0,1972,1972,1973.0,148.0,TA,60.0,0.0,7,Detchd,196.0,4,20,1,Av,Reg,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,124900.0
6,1158.0,1158.0,0.0,1158.0,941.0,2,1,576.0,13072.0,0.0,2004,2004,2006.0,217.0,Gd,63.0,50.0,5,Detchd,0.0,5,20,5,No,Reg,RL,3,None,TA,1,None,Gd,RRAe,1Fam,Partial,Pave,Y,New,158000.0
5,1111.0,530.0,530.0,581.0,0.0,1,1,288.0,7200.0,0.0,1920,1996,1935.0,530.0,None,60.0,0.0,7,Detchd,0.0,6,75,3,None,Reg,RM,3,None,TA,0,None,Fa,Norm,1Fam,Normal,Pave,N,WD,101000.0
8,1370.0,1370.0,0.0,1370.0,24.0,2,2,484.0,6442.0,178.0,2006,2006,2006.0,1346.0,Gd,44.0,49.0,5,Attchd,120.0,6,120,10,Mn,IR1,RL,2,Stone,Gd,0,Gd,Gd,Norm,TwnhsE,Normal,Pave,Y,WD,202500.0
7,1710.0,576.0,808.0,902.0,0.0,2,2,480.0,10300.0,0.0,1921,1950,1990.0,576.0,None,50.0,11.0,6,Detchd,12.0,9,70,4,None,IR1,RM,3,None,TA,0,None,TA,RRAn,1Fam,Normal,Pave,Y,WD,140000.0
7,2034.0,1057.0,977.0,1057.0,739.0,2,2,645.0,9375.0,573.0,1997,1998,1998.0,318.0,Gd,96.8245836551854,36.0,5,Attchd,576.0,8,60,2,No,Reg,RL,3,BrkFace,TA,1,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,219500.0
8,2473.0,1143.0,1330.0,1143.0,0.0,3,2,852.0,9591.0,344.0,2004,2005,2004.0,1143.0,None,76.0,151.0,5,BuiltIn,192.0,9,60,10,None,Reg,RL,4,BrkFace,Gd,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,317000.0
7,2207.0,1947.0,0.0,2207.0,912.0,2,2,576.0,19900.0,287.0,1970,1989,1970.0,1035.0,Gd,141.06735979665885,0.0,5,Attchd,301.0,7,20,7,Gd,Reg,RL,3,BrkFace,TA,0,Gd,TA,PosA,1Fam,Normal,Pave,Y,WD,180000.0
7,1479.0,1453.0,0.0,1479.0,1013.0,2,2,558.0,10665.0,167.0,2003,2003,2003.0,440.0,Gd,72.0,29.0,5,Attchd,144.0,7,20,6,Av,IR1,RL,3,BrkFace,Gd,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,226000.0
4,747.0,747.0,0.0,747.0,0.0,1,1,220.0,4608.0,0.0,1945,1950,1945.0,747.0,None,47.0,0.0,6,Attchd,0.0,4,30,6,None,Reg,RM,2,None,TA,0,None,TA,Artery,1Fam,Normal,Pave,Y,WD,80000.0
7,2287.0,1304.0,983.0,1304.0,603.0,2,2,667.0,15593.0,0.0,1953,1953,1953.0,701.0,TA,81.0,21.0,4,Attchd,0.0,7,50,7,No,Reg,RL,3,None,Gd,0,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,225000.0
7,2223.0,2223.0,0.0,2223.0,1880.0,2,2,516.0,13651.0,1115.0,1973,1973,1973.0,343.0,Gd,95.0,0.0,6,Attchd,300.0,8,20,2,Gd,IR1,RL,3,BrkFace,TA,0,Gd,TA,Norm,1Fam,Normal,Pave,Y,WD,244000.0
4,845.0,845.0,0.0,845.0,565.0,2,1,360.0,7599.0,0.0,1982,2006,1987.0,280.0,TA,69.0,0.0,6,Detchd,0.0,4,20,6,No,Reg,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,129500.0
7,1718.0,832.0,833.0,885.0,0.0,2,2,427.0,10141.0,40.0,1998,1998,1998.0,832.0,None,74.0,94.0,5,Attchd,0.0,7,60,12,None,IR1,RL,3,BrkFace,TA,1,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,185000.0
5,1086.0,1086.0,0.0,1086.0,320.0,2,1,490.0,10200.0,104.0,1954,2003,1989.0,404.0,TA,85.0,0.0,7,Attchd,0.0,6,20,5,No,Reg,RL,3,BrkFace,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,144900.0
3,1605.0,840.0,765.0,840.0,0.0,1,2,379.0,5790.0,0.0,1915,1950,1915.0,840.0,None,60.0,0.0,6,Detchd,0.0,8,50,5,None,Reg,RM,3,None,Gd,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,107400.0
4,988.0,462.0,462.0,526.0,462.0,1,1,297.0,1596.0,0.0,1973,1973,1973.0,0.0,Gd,21.0,101.0,5,BuiltIn,120.0,5,180,11,Gd,Reg,RM,2,None,TA,0,None,TA,Norm,Twnhs,Normal,Pave,Y,WD,91000.0
4,952.0,952.0,0.0,952.0,228.0,1,1,283.0,8475.0,0.0,1956,1956,1956.0,724.0,TA,92.05976319760984,0.0,7,Detchd,0.0,4,20,4,No,IR1,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,135750.0
5,1285.0,672.0,213.0,1072.0,336.0,1,1,240.0,8635.0,0.0,1948,2001,1948.0,295.0,TA,50.0,0.0,5,Detchd,0.0,6,50,1,No,Reg,RM,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,127000.0
5,1230.0,440.0,548.0,682.0,0.0,2,1,440.0,10440.0,0.0,1910,1981,1966.0,440.0,None,60.0,0.0,6,Detchd,74.0,5,50,5,None,Reg,RM,2,None,TA,1,None,TA,Norm,1Fam,Normal,Pave,Y,WD,110000.0
6,2142.0,896.0,960.0,1182.0,448.0,1,2,509.0,13000.0,576.0,1968,1968,1968.0,448.0,Gd,100.0,72.0,6,Attchd,0.0,8,60,6,No,Reg,RL,4,BrkFace,TA,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,193500.0
6,1337.0,1237.0,0.0,1337.0,1201.0,2,2,405.0,4500.0,443.0,1998,1998,1998.0,36.0,Ex,32.0,199.0,5,Attchd,0.0,5,120,3,No,Reg,RM,2,BrkFace,TA,0,None,TA,Norm,TwnhsE,Normal,Pave,Y,WD,153500.0
8,1563.0,1563.0,0.0,1563.0,33.0,3,2,758.0,10206.0,468.0,2007,2007,2007.0,1530.0,Gd,78.0,99.0,5,Attchd,144.0,6,20,10,No,Reg,RL,3,Stone,TA,0,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,245000.0
5,1065.0,1065.0,0.0,1065.0,0.0,2,1,461.0,8892.0,66.0,1960,1960,1974.0,1065.0,None,80.0,0.0,5,Detchd,74.0,6,20,7,None,IR1,RL,3,BrkCmn,TA,1,None,TA,Norm,1Fam,Normal,Pave,Y,COD,126500.0
7,1474.0,384.0,670.0,804.0,0.0,2,2,400.0,8530.0,22.0,1995,1996,1995.0,384.0,None,92.35799911215057,72.0,5,BuiltIn,120.0,7,80,5,None,IR1,RL,3,BrkFace,TA,1,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,168500.0
8,2417.0,1288.0,1116.0,1301.0,0.0,2,2,462.0,16059.0,284.0,1991,1992,1991.0,1288.0,None,121.0,82.0,5,Attchd,127.0,9,60,4,None,Reg,RL,4,BrkFace,Gd,1,TA,Gd,Norm,1Fam,Normal,Pave,Y,WD,260000.0
6,1560.0,684.0,876.0,684.0,0.0,2,2,400.0,11911.0,0.0,2005,2005,2005.0,684.0,None,122.0,38.0,5,BuiltIn,100.0,6,60,3,None,IR2,RL,3,None,Gd,1,Gd,Gd,Norm,1Fam,Normal,Pave,Y,WD,174000.0
6,1224.0,612.0,612.0,612.0,0.0,2,2,528.0,3951.0,76.0,2009,2009,2009.0,612.0,None,40.0,234.0,5,Detchd,0.0,4,160,6,None,Reg,FV,2,Stone,Gd,1,None,Gd,Norm,TwnhsE,Partial,Pave,Y,New,164500.0
4,1040.0,0.0,0.0,1040.0,0.0,2,1,420.0,7200.0,0.0,1950,1950,1950.0,0.0,None,60.0,29.0,5,Detchd,0.0,4,20,7,None,Reg,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,109900.0
5,1235.0,1235.0,0.0,1235.0,600.0,2,1,480.0,8500.0,203.0,1961,1961,1961.0,635.0,TA,85.0,0.0,3,Attchd,0.0,6,20,12,No,Reg,RL,2,BrkCmn,TA,0,None,TA,Norm,1Fam,Abnorml,Pave,Y,WD,98600.0
5,964.0,876.0,0.0,964.0,713.0,2,1,432.0,13360.0,0.0,1921,2006,1921.0,163.0,Gd,80.0,0.0,7,Detchd,0.0,5,30,8,No,IR1,RL,2,None,TA,0,None,TA,Norm,1Fam,Normal,Pave,Y,WD,163500.0
6,2291.0,1214.0,1031.0,1260.0,1046.0,2,2,506.0,7200.0,0.0,1910,1998,1900.0,168.0,TA,60.0,0.0,6,Detchd,0.0,9,190,11,Mn,Reg,C (all),4,None,TA,0,Gd,TA,Norm,2fmCon,Normal,Pave,Y,WD,133900.0
6,1786.0,824.0,881.0,905.0,648.0,2,2,684.0,9337.0,0.0,1997,1997,1997.0,176.0,Gd,69.0,162.0,5,Attchd,0.0,7,60,5,No,IR1,RL,3,None,TA,1,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,204750.0
6,1470.0,680.0,790.0,680.0,310.0,2,2,420.0,9765.0,68.0,1993,1993,1993.0,370.0,Gd,98.81801455200365,63.0,8,BuiltIn,232.0,6,60,4,No,IR2,RL,3,BrkFace,Ex,1,TA,TA,Norm,1Fam,Normal,Pave,Y,WD,185000.0
7,1588.0,1588.0,0.0,1588.0,1162.0,2,2,472.0,10264.0,183.0,1999,1999,1999.0,426.0,Gd,78.0,29.0,5,Attchd,158.0,6,20,8,Av,IR1,RL,3,BrkFace,Gd,0,None,Gd,Norm,1Fam,Normal,Pave,Y,WD,214000.0
4,960.0,960.0,0.0,960.0,520.0,1,1,432.0,10921.0,48.0,1965,1965,1965.0,440.0,TA,73.0,0.0,5,Attchd,120.0,6,20,5,No,Reg,RL,3,BrkFace,TA,0,None,TA,Norm,1Fam,Normal,Pave,P,WD,94750.0
5,835.0,458.0,0.0,835.0,108.0,1,1,366.0,10625.0,0.0,1920,1950,1920.0,350.0,TA,85.0,0.0,5,Basment,0.0,5,30,5,No,Reg,RL,2,None,TA,0,None,TA,Norm,1Fam,Abnorml,Pave,Y,COD,83000.0
6,1610.0,1610.0,0.0,1610.0,1200.0,2,2,480.0,10603.0,28.0,1977,2001,1977.0,410.0,TA,102.97086966710536,68.0,7,Attchd,168.0,6,20,2,Mn,IR1,RL,3,BrkFace,TA,0,TA,Gd,Norm,1Fam,Normal,Pave,Y,WD,205000.0
